config,model,encoder,scaler,selector,accuracy,precision,recall,f1,best_params,auc_roc
LightGBM_target_standard_none,LightGBM,target,standard,none,0.8779276082327893,0.9577620241413833,0.8779276082327893,0.8983951106866066,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",0.99841434472043
LogisticRegression_target_standard_variance,LogisticRegression,target,standard,variance,0.9467707594038325,0.9693620792460115,0.9467707594038325,0.9531997075600915,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9983775359270252
LogisticRegression_target_standard_mutual_info,LogisticRegression,target,standard,mutual_info,0.9467707594038325,0.9693620792460115,0.9467707594038325,0.9531997075600915,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9983606023759665
LogisticRegression_target_standard_none,LogisticRegression,target,standard,none,0.9467707594038325,0.9693620792460115,0.9467707594038325,0.9531997075600915,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9983606023759665
RandomForest_onehot_none_mutual_info,RandomForest,onehot,none,mutual_info,0.9730305180979418,0.975760342948445,0.9730305180979418,0.973714172879225,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",0.9979679420246897
LogisticRegression_onehot_standard_variance,LogisticRegression,onehot,standard,variance,0.9488999290276792,0.9700368032481805,0.9488999290276792,0.9548949219694428,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9979349391800306
LogisticRegression_onehot_standard_mutual_info,LogisticRegression,onehot,standard,mutual_info,0.950319375443577,0.9697986758771118,0.950319375443577,0.9559103058065805,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9977969652625406
LogisticRegression_onehot_standard_none,LogisticRegression,onehot,standard,none,0.950319375443577,0.9697986758771118,0.950319375443577,0.9559103058065805,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9977969652625406
RandomForest_onehot_minmax_mutual_info,RandomForest,onehot,minmax,mutual_info,0.9730305180979418,0.975544446333218,0.9730305180979418,0.9736622046307535,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",0.9976663012961815
RandomForest_onehot_none_none,RandomForest,onehot,none,none,0.9737402413058907,0.9775614806926303,0.9737402413058907,0.9747348401396905,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",0.9976117751294944
